supplier,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,sum total years, share of global arms exports
Belgium,0,0,0,0,0,0,29,0,0,0,3,0,2,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,2,3,1,19,41,89,115,3,19,0,18,36,1,1,0,0,39,161,61,93,46,62,46,37,34,15,47,160,59,32,223,243,12,111,22,55,10,12,7,17,21,57,26,92,144,40,2383,0.12%
North Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,20,31,6,107,210,194,176,73,208,177,62,5,84,97,103,20,32,37,37,59,42,40,53,150,129,42,15,15,15,15,22,6,0,0,0,1,0,0,0,0,0,0,0,0,13,2316,0.11%
Czechia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,319,146,123,24,20,58,82,89,60,65,2,72,44,34,34,24,5,11,8,41,26,151,153,90,91,19,26,6,163,93,2278,0.11%
Finland,0,0,0,0,25,0,0,0,0,75,75,5,5,0,0,3,67,39,39,39,37,40,30,0,63,63,0,0,63,63,0,0,15,0,0,0,0,0,1,0,0,18,9,12,20,25,3,1,17,20,12,31,35,35,27,38,121,60,97,63,66,64,99,69,93,26,54,28,39,25,12,15,40,32,2053,0.10%
Japan,0,0,0,0,2,110,38,112,3,41,1,61,100,8,14,0,5,0,0,31,0,15,9,36,55,0,0,0,9,11,167,0,0,17,17,44,92,0,0,15,30,54,101,122,130,126,165,25,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,13,1824,0.09%
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,37,126,54,70,61,58,60,248,40,30,12,12,30,20,20,10,17,0,18,3,29,23,23,17,83,2,3,3,62,67,14,44,65,52,23,28,16,10,17,22,8,3,10,3,3,10,1574,0.08%
Denmark,0,0,0,0,0,0,0,0,0,0,20,0,0,0,60,12,0,128,24,0,0,0,0,0,0,24,0,0,0,0,18,29,64,115,0,0,0,117,36,0,80,0,0,183,268,16,0,0,0,3,18,0,10,2,0,0,5,6,8,10,8,26,26,8,19,22,21,13,25,2,0,24,61,46,1557,0.08%
Yugoslavia,0,0,0,0,0,0,17,0,71,0,6,0,0,0,23,23,0,0,0,21,3,26,0,35,0,14,65,71,45,25,103,103,22,53,77,94,8,2,17,18,80,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,0.07%
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,0,8,395,95,107,169,14,54,31,9,13,64,7,36,0,0,0,3,0,0,3,10,0,0,0,21,16,113,113,18,9,17,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,0.07%
UAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,14,0,0,22,1,0,0,2,0,0,0,0,28,6,37,0,0,0,0,0,0,3,11,17,3,0,34,39,3,70,108,87,142,95,101,114,128,194,58,17,14,1356,0.07%
Iran,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,0,0,23,6,106,6,129,81,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,2,0,0,0,0,0,3,9,1,2,75,0,63,65,65,103,31,17,52,15,5,15,0,0,6,0,136,184,1246,0.06%
Jordan,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,36,0,22,23,50,0,18,0,0,0,0,0,76,0,2,7,0,7,64,0,0,0,0,65,0,0,6,0,0,0,0,0,0,43,22,0,13,13,28,117,0,21,33,114,16,18,80,1,103,66,80,51,11,1208,0.06%
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,1,0,0,0,27,44,48,30,91,101,173,99,28,35,52,25,7,6,15,16,29,11,5,13,2,19,3,0,0,24,0,3,8,32,0,2,1,0,0,216,0,0,0,0,0,0,0,0,1,1,1192,0.06%
Singapore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,17,0,0,29,72,0,15,0,25,88,0,0,81,25,87,44,3,3,11,30,0,1,46,23,11,12,0,4,0,65,0,0,0,0,34,27,16,79,7,12,80,77,0,0,0,24,72,36,11,1169,0.06%
unknown supplier(s),23,12,0,0,0,2,17,17,17,17,17,19,5,1,1,14,2,12,0,0,0,4,12,8,7,15,9,1,12,31,30,44,22,10,2,8,42,3,8,6,10,9,3,41,56,1,67,11,4,3,12,17,19,12,15,53,9,0,36,9,31,8,14,10,26,12,5,6,8,12,4,40,48,92,1153,0.06%
Egypt,0,0,0,0,0,0,9,22,4,4,0,0,7,8,1,0,13,15,26,15,39,0,0,0,0,16,0,67,78,13,29,77,81,71,37,5,19,76,81,81,25,0,15,28,17,12,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,0,0,0,8,0,41,41,5,1124,0.05%
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,106,0,0,5,6,42,58,28,56,1,21,8,41,171,6,10,37,45,20,87,5,9,4,16,4,2,13,23,23,81,83,33,14,10,3,7,34,0,1116,0.05%
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,126,4,0,0,0,209,209,209,0,0,0,34,68,0,0,0,0,0,0,0,1111,0.05%
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,40,100,62,58,10,125,37,54,33,0,46,0,3,22,9,0,0,0,5,1,8,3,20,22,12,8,11,0,71,154,1092,0.05%
India,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,2,21,24,31,0,0,27,22,0,0,2,0,0,0,0,0,1,0,7,0,7,9,2,2,0,0,0,0,21,2,0,4,31,19,33,23,15,27,5,3,0,18,40,42,49,56,47,20,153,54,7,34,869,0.04%
